,thresholds,ious
0,-0.8472978603872036,0.7794999999999999
1,-0.7845813865195774,0.779625
2,-0.7233002187306329,0.779125
3,-0.6632942174102644,0.779125
4,-0.6044190649512611,0.77875
5,-0.5465437063680699,0.7782499999999999
6,-0.4895482253187058,0.77775
7,-0.4333220626111307,0.77775
8,-0.37776250555882873,0.77775
9,-0.3227733922630512,0.7775
10,-0.26826398659467926,0.7766249999999999
11,-0.21414798840563196,0.77725
12,-0.1603426500751795,0.776875
13,-0.1067679754257063,0.77625
14,-0.05334598070529297,0.77575
15,0.0,0.7745000000000001
16,0.053345980705292714,0.77375
17,0.10676797542570594,0.774
18,0.16034265007517948,0.77275
19,0.2141479884056315,0.7721250000000001
20,0.26826398659467937,0.771125
21,0.32277339226305085,0.7705000000000001
22,0.37776250555882834,0.769625
23,0.43332206261113065,0.77
24,0.48954822531870534,0.769
25,0.5465437063680698,0.768375
26,0.6044190649512607,0.7671250000000001
27,0.6632942174102638,0.7655
28,0.7233002187306328,0.762625
29,0.7845813865195772,0.7588750000000001
30,0.8472978603872034,0.7511250000000002
